,Title,Author,Format-Year
0,Learning Spanish-beginner I,"Iris Acevedo A.; Spanishonline, Costarica","eBook, 2025 — Spanish"
1,Real-World Spanish: The Conversation Learning System,Camila Vega Rivera,"eAudiobook, 2025"
2,100 Facts About Learning Spanish,Science-Based Language Learning Lab,"eAudiobook, 2024"
3,A Beginner's Guide to Learning Spanish,"Miller, Jackson","eAudiobook, 2024"
4,100 Facts About Learning Spanish,Science-Based Language Learning Lab,"eBook, 2024"
5,No Tears Spanish Grammar: Easy Learning: Essential Rules for Beginners,"Bennett, Olivia","eBook, 2024"
6,Learning Spanish for Adults Beginner,"World, Spain","eBook, 2023"
7,Learning to Read in English and Spanish Made Easy,"Navarijo, Susie G.","eBook, 2022"
8,Spanish for Beginners: A Comprehensive Guide for Learning the Spanish Language Fast,Language Equipped Travelers,"eBook, 2021"
9,"Spanish: Beginner's Step by Step Course to Quickly Learning the Spanish Language, Spanish Grammar &","Michaels, Steven J.","eBook, 2021"
10,Learn Spanish Like a Native for Beginners - Level 1: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,"eBook, 2021"
11,Learn Spanish Like a Native for Beginners - Level 2: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,"eBook, 2021"
12,I'm Learning Spanish,"Gardner, James M.","eAudiobook, 2020 — Chinese"
13,I am learning Spanish,"Gardner, James M.","eAudiobook, 2018"
14,The Best Spanish Learning Games for Children,"Professor, Baby","eBook, 2017"
15,Easy Learning Spanish Vocabulary,"Dictionaries, Collins","eBook, 2016 — Spanish"
16,Spanish Easy Learning Complete Course,"Carmen García del Río; Fitzsimons, Ronan","eAudiobook, 2016"
17,Learning the Local Language: Your Guide to Real World Spanish,"Romey, Jared","eBook, 2013"
18,Expressing Possession in Spanish,No authors found.,"Streaming Video, 2017"
19,Cognates and False Cognates,No authors found.,"Streaming Video, 2017"
